date,flu_index
2021-12-31,4.02
2022-01-01,8.7
2022-01-02,8.69
2022-01-03,9.56
2022-01-04,10.08
2022-01-05,9.73
2022-01-06,8.94
2022-01-07,9.88
2022-01-08,9.99
2022-01-09,10.99
2022-01-10,9.66
2022-01-11,10.18
2022-01-12,11.1
2022-01-13,10.68
2022-01-14,10.8
2022-01-15,10.7
2022-01-16,10.85
2022-01-17,11.1
2022-01-18,10.52
2022-01-19,11.25
2022-01-20,10.4
2022-01-21,11.13
2022-01-22,11.11
2022-01-23,10.83
2022-01-24,11.1
2022-01-25,10.89
2022-01-26,10.73
2022-01-27,11.04
2022-01-28,10.75
2022-01-29,11.33
2022-01-30,10.74
2022-01-31,11.48
2022-02-01,10.72
2022-02-02,10.95
2022-02-03,10.91
2022-02-04,11.67
2022-02-05,11.24
2022-02-06,10.99
2022-02-07,11.24
2022-02-08,10.16
2022-02-09,10.94
2022-02-10,11.7
2022-02-11,10.9
2022-02-12,10.81
2022-02-13,10.94
2022-02-14,11.01
2022-02-15,9.78
2022-02-16,9.83
2022-02-17,10.5
2022-02-18,10.05
2022-02-19,10.77
2022-02-20,10.02
2022-02-21,9.28
2022-02-22,9.44
2022-02-23,8.75
2022-02-24,9.65
2022-02-25,9.55
2022-02-26,9.34
2022-02-27,9.83
2022-02-28,9.75
2022-03-01,9.08
2022-03-02,8.17
2022-03-03,9.14
2022-03-04,8.99
2022-03-05,8.76
2022-03-06,8.89
2022-03-07,7.89
2022-03-08,9.03
2022-03-09,7.7
2022-03-10,8.24
2022-03-11,7.12
2022-03-12,7.28
2022-03-13,8.11
2022-03-14,7.25
2022-03-15,7.55
2022-03-16,7.16
2022-03-17,6.87
2022-03-18,7.31
2022-03-19,6.52
2022-03-20,5.75
2022-03-21,5.99
2022-03-22,6.39
2022-03-23,6.18
2022-03-24,5.24
2022-03-25,5.43
2022-03-26,5.34
2022-03-27,5.28
2022-03-28,4.73
2022-03-29,4.88
2022-03-30,4.7
2022-03-31,5.16
2022-04-01,5.03
2022-04-02,4.51
2022-04-03,4.27
2022-04-04,4.35
2022-04-05,3.83
2022-04-06,3.57
2022-04-07,3.52
2022-04-08,3.51
2022-04-09,3.17
2022-04-10,3.57
2022-04-11,3.68
2022-04-12,2.63
2022-04-13,3.16
2022-04-14,2.94
2022-04-15,3.05
2022-04-16,2.8
2022-04-17,2.11
2022-04-18,2.08
2022-04-19,2.49
2022-04-20,2.79
2022-04-21,1.39
2022-04-22,2.32
2022-04-23,2.56
2022-04-24,1.93
2022-04-25,2.13
2022-04-26,1.54
2022-04-27,1.69
2022-04-28,1.0
2022-04-29,0.64
2022-04-30,1.87
2022-05-01,1.03
2022-05-02,1.17
2022-05-03,0.73
2022-05-04,0.65
2022-05-05,1.08
2022-05-06,0.8
2022-05-07,1.18
2022-05-08,1.15
2022-05-09,1.04
2022-05-10,0.96
2022-05-11,1.44
2022-05-12,0.34
2022-05-13,0.7
2022-05-14,1.13
2022-05-15,1.14
2022-05-16,0.02
2022-05-17,0.43
2022-05-18,1.06
2022-05-19,0.68
2022-05-20,0.53
2022-05-21,0.33
2022-05-22,0.23
2022-05-23,0.47
2022-05-24,0.23
2022-05-25,0.29
2022-05-26,0.32
2022-05-27,0.0
2022-05-28,0.45
2022-05-29,1.39
2022-05-30,0.0
2022-05-31,0.32
2022-06-01,0.0
2022-06-02,0.39
2022-06-03,0.16
2022-06-04,0.43
2022-06-05,0.59
2022-06-06,0.18
2022-06-07,0.55
2022-06-08,0.0
2022-06-09,0.71
2022-06-10,0.22
2022-06-11,0.49
2022-06-12,0.0
2022-06-13,0.0
2022-06-14,0.1
2022-06-15,0.03
2022-06-16,0.15
2022-06-17,0.46
2022-06-18,0.0
2022-06-19,0.41
2022-06-20,0.02
2022-06-21,0.0
2022-06-22,0.0
2022-06-23,0.21
2022-06-24,0.0
2022-06-25,0.27
2022-06-26,0.0
2022-06-27,0.03
2022-06-28,0.0
2022-06-29,0.47
2022-06-30,0.0
2022-07-01,0.0
2022-07-02,0.0
2022-07-03,0.51
2022-07-04,0.22
2022-07-05,0.0
2022-07-06,0.0
2022-07-07,0.0
2022-07-08,0.16
2022-07-09,0.0
2022-07-10,0.3
2022-07-11,0.05
2022-07-12,0.96
2022-07-13,0.0
2022-07-14,0.0
2022-07-15,0.72
2022-07-16,0.48
2022-07-17,0.0
2022-07-18,0.09
2022-07-19,0.0
2022-07-20,0.11
2022-07-21,0.0
2022-07-22,0.0
2022-07-23,0.0
2022-07-24,0.05
2022-07-25,0.18
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,0.4
2022-07-29,0.15
2022-07-30,0.0
2022-07-31,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,0.49
2022-08-05,0.0
2022-08-06,0.26
2022-08-07,0.0
2022-08-08,0.1
2022-08-09,0.0
2022-08-10,0.35
2022-08-11,0.0
2022-08-12,0.0
2022-08-13,0.0
2022-08-14,0.0
2022-08-15,0.0
2022-08-16,0.16
2022-08-17,0.0
2022-08-18,0.95
2022-08-19,0.0
2022-08-20,0.08
2022-08-21,0.0
2022-08-22,0.0
2022-08-23,0.06
2022-08-24,0.0
2022-08-25,0.1
2022-08-26,0.76
2022-08-27,0.0
2022-08-28,0.11
2022-08-29,0.41
2022-08-30,0.0
2022-08-31,0.0
2022-09-01,0.0
2022-09-02,0.26
2022-09-03,0.0
2022-09-04,0.0
2022-09-05,0.06
2022-09-06,0.0
2022-09-07,0.0
2022-09-08,0.26
2022-09-09,0.0
2022-09-10,0.44
2022-09-11,0.0
2022-09-12,0.0
2022-09-13,0.8
2022-09-14,0.48
2022-09-15,0.07
2022-09-16,0.0
2022-09-17,0.0
2022-09-18,0.08
2022-09-19,0.07
2022-09-20,0.03
2022-09-21,0.06
2022-09-22,0.0
2022-09-23,0.0
2022-09-24,0.0
2022-09-25,0.47
2022-09-26,0.0
2022-09-27,0.05
2022-09-28,0.0
2022-09-29,0.2
2022-09-30,0.01
2022-10-01,0.77
2022-10-02,0.4
2022-10-03,0.0
2022-10-04,0.51
2022-10-05,0.0
2022-10-06,0.05
2022-10-07,0.43
2022-10-08,0.13
2022-10-09,0.71
2022-10-10,0.07
2022-10-11,0.16
2022-10-12,0.18
2022-10-13,0.25
2022-10-14,0.95
2022-10-15,0.79
2022-10-16,1.26
2022-10-17,1.53
2022-10-18,0.25
2022-10-19,0.73
2022-10-20,0.28
2022-10-21,0.49
2022-10-22,0.6
2022-10-23,0.48
2022-10-24,0.54
2022-10-25,0.96
2022-10-26,0.59
2022-10-27,1.47
2022-10-28,0.83
2022-10-29,2.39
2022-10-30,1.15
2022-10-31,1.43
2022-11-01,0.96
2022-11-02,2.24
2022-11-03,2.08
2022-11-04,1.83
2022-11-05,1.26
2022-11-06,1.97
2022-11-07,1.52
2022-11-08,2.65
2022-11-09,2.48
2022-11-10,2.29
2022-11-11,1.38
2022-11-12,2.06
2022-11-13,2.83
2022-11-14,3.15
2022-11-15,3.22
2022-11-16,2.25
2022-11-17,3.12
2022-11-18,3.52
2022-11-19,2.57
2022-11-20,3.35
2022-11-21,3.59
2022-11-22,3.48
2022-11-23,2.99
2022-11-24,3.73
2022-11-25,3.86
2022-11-26,4.06
2022-11-27,4.03
2022-11-28,4.22
2022-11-29,4.52
2022-11-30,4.85
2022-12-01,4.69
2022-12-02,4.79
2022-12-03,5.14
2022-12-04,4.48
2022-12-05,5.58
2022-12-06,5.54
2022-12-07,5.7
2022-12-08,6.22
2022-12-09,5.2
2022-12-10,5.34
2022-12-11,6.39
2022-12-12,6.43
2022-12-13,6.65
2022-12-14,6.54
2022-12-15,7.14
2022-12-16,7.4
2022-12-17,7.37
2022-12-18,7.22
2022-12-19,6.63
2022-12-20,7.92
2022-12-21,8.25
2022-12-22,8.16
2022-12-23,7.69
2022-12-24,8.46
2022-12-25,8.67
2022-12-26,9.09
2022-12-27,8.25
2022-12-28,8.64
2022-12-29,9.16
2022-12-30,9.02
2022-12-31,8.67
2023-01-01,6.79
2023-01-02,6.94
2023-01-03,6.83
2023-01-04,6.96
2023-01-05,6.85
2023-01-06,7.62
2023-01-07,6.75
2023-01-08,6.95
2023-01-09,7.25
2023-01-10,7.67
2023-01-11,6.78
2023-01-12,6.92
2023-01-13,6.69
2023-01-14,7.57
2023-01-15,7.16
2023-01-16,7.5
2023-01-17,7.97
2023-01-18,7.49
2023-01-19,7.88
2023-01-20,7.7
2023-01-21,8.13
2023-01-22,8.08
2023-01-23,7.64
2023-01-24,7.87
2023-01-25,8.37
2023-01-26,8.13
2023-01-27,7.43
2023-01-28,8.26
2023-01-29,7.56
2023-01-30,8.57
2023-01-31,8.41
2023-02-01,8.11
2023-02-02,8.05
2023-02-03,7.89
2023-02-04,8.23
2023-02-05,7.79
2023-02-06,8.01
2023-02-07,8.24
2023-02-08,7.63
2023-02-09,7.58
2023-02-10,7.31
2023-02-11,7.32
2023-02-12,6.97
2023-02-13,7.95
2023-02-14,8.33
2023-02-15,8.13
2023-02-16,6.85
2023-02-17,7.73
2023-02-18,7.95
2023-02-19,7.13
2023-02-20,7.29
2023-02-21,6.38
2023-02-22,7.21
2023-02-23,6.61
2023-02-24,7.04
2023-02-25,6.25
2023-02-26,7.01
2023-02-27,7.12
2023-02-28,6.31
2023-03-01,6.08
2023-03-02,5.58
2023-03-03,6.25
2023-03-04,6.03
2023-03-05,5.55
2023-03-06,6.25
2023-03-07,5.79
2023-03-08,5.44
2023-03-09,5.55
2023-03-10,6.1
2023-03-11,5.81
2023-03-12,5.41
2023-03-13,5.61
2023-03-14,4.79
2023-03-15,5.16
2023-03-16,5.1
2023-03-17,4.75
2023-03-18,5.01
2023-03-19,4.41
2023-03-20,4.82
2023-03-21,4.73
2023-03-22,3.24
2023-03-23,4.77
2023-03-24,2.97
2023-03-25,3.84
2023-03-26,4.39
2023-03-27,3.75
2023-03-28,3.18
2023-03-29,3.23
2023-03-30,3.98
2023-03-31,2.69
2023-04-01,3.81
2023-04-02,3.24
2023-04-03,2.69
2023-04-04,2.83
2023-04-05,2.56
2023-04-06,3.22
2023-04-07,3.07
2023-04-08,2.0
2023-04-09,2.44
2023-04-10,2.16
2023-04-11,2.94
2023-04-12,1.79
2023-04-13,2.89
2023-04-14,2.15
2023-04-15,1.62
2023-04-16,1.73
2023-04-17,1.6
2023-04-18,1.34
2023-04-19,1.81
2023-04-20,1.21
2023-04-21,0.76
2023-04-22,1.41
2023-04-23,0.77
2023-04-24,1.12
2023-04-25,1.0
2023-04-26,0.95
2023-04-27,2.04
2023-04-28,1.2
2023-04-29,1.22
2023-04-30,0.36
2023-05-01,0.75
2023-05-02,1.05
2023-05-03,0.51
2023-05-04,1.23
2023-05-05,0.34
2023-05-06,0.66
2023-05-07,0.5
2023-05-08,0.76
2023-05-09,0.4
2023-05-10,0.51
2023-05-11,0.49
2023-05-12,0.25
2023-05-13,0.71
2023-05-14,0.58
2023-05-15,0.42
2023-05-16,0.25
2023-05-17,0.71
2023-05-18,0.27
2023-05-19,0.22
2023-05-20,0.36
2023-05-21,0.98
2023-05-22,0.0
2023-05-23,0.56
2023-05-24,0.0
2023-05-25,0.31
2023-05-26,0.83
2023-05-27,0.38
2023-05-28,0.24
2023-05-29,0.0
2023-05-30,0.16
2023-05-31,0.03
2023-06-01,0.0
2023-06-02,0.0
2023-06-03,0.18
2023-06-04,0.0
2023-06-05,0.0
2023-06-06,0.0
2023-06-07,0.23
2023-06-08,0.28
2023-06-09,0.15
2023-06-10,0.44
2023-06-11,0.08
2023-06-12,0.2
2023-06-13,0.16
2023-06-14,0.0
2023-06-15,0.0
2023-06-16,0.91
2023-06-17,0.0
2023-06-18,0.0
2023-06-19,0.19
2023-06-20,0.12
2023-06-21,0.0
2023-06-22,0.46
2023-06-23,0.0
2023-06-24,0.0
2023-06-25,0.48
2023-06-26,0.26
2023-06-27,0.0
2023-06-28,0.72
2023-06-29,0.27
2023-06-30,0.0
2023-07-01,0.64
2023-07-02,0.07
2023-07-03,0.0
2023-07-04,0.0
2023-07-05,0.23
2023-07-06,0.19
2023-07-07,0.01
2023-07-08,0.0
2023-07-09,0.05
2023-07-10,0.0
2023-07-11,0.0
2023-07-12,0.0
2023-07-13,0.23
2023-07-14,0.0
2023-07-15,0.08
2023-07-16,0.0
2023-07-17,0.52
2023-07-18,0.0
2023-07-19,0.26
2023-07-20,0.0
2023-07-21,0.05
2023-07-22,0.29
2023-07-23,0.0
2023-07-24,0.4
2023-07-25,0.0
