date,temp_avg
2021-12-31,26.6
2022-01-01,28.1
2022-01-02,26.2
2022-01-03,27.3
2022-01-04,23.9
2022-01-05,30.8
2022-01-06,30.3
2022-01-07,27.4
2022-01-08,31.6
2022-01-09,28.9
2022-01-10,23.5
2022-01-11,28.4
2022-01-12,23.1
2022-01-13,30.4
2022-01-14,26.7
2022-01-15,26.1
2022-01-16,24.2
2022-01-17,31.8
2022-01-18,26.3
2022-01-19,25.2
2022-01-20,25.6
2022-01-21,29.1
2022-01-22,28.5
2022-01-23,28.8
2022-01-24,28.9
2022-01-25,35.8
2022-01-26,25.7
2022-01-27,25.4
2022-01-28,24.2
2022-01-29,30.1
2022-01-30,32.2
2022-01-31,27.4
2022-02-01,24.6
2022-02-02,24.8
2022-02-03,30.8
2022-02-04,31.3
2022-02-05,30.7
2022-02-06,26.0
2022-02-07,29.7
2022-02-08,29.4
2022-02-09,30.0
2022-02-10,32.8
2022-02-11,30.4
2022-02-12,32.4
2022-02-13,30.2
2022-02-14,31.3
2022-02-15,32.9
2022-02-16,24.7
2022-02-17,29.5
2022-02-18,29.2
2022-02-19,28.7
2022-02-20,30.4
2022-02-21,37.8
2022-02-22,28.6
2022-02-23,36.2
2022-02-24,25.8
2022-02-25,31.5
2022-02-26,33.8
2022-02-27,35.8
2022-02-28,36.6
2022-03-01,37.2
2022-03-02,32.9
2022-03-03,32.8
2022-03-04,38.4
2022-03-05,34.5
2022-03-06,30.5
2022-03-07,31.4
2022-03-08,32.6
2022-03-09,38.6
2022-03-10,37.5
2022-03-11,40.0
2022-03-12,35.9
2022-03-13,38.6
2022-03-14,40.8
2022-03-15,37.5
2022-03-16,40.9
2022-03-17,36.8
2022-03-18,38.3
2022-03-19,38.7
2022-03-20,35.8
2022-03-21,42.9
2022-03-22,39.5
2022-03-23,41.8
2022-03-24,44.0
2022-03-25,44.3
2022-03-26,45.6
2022-03-27,42.9
2022-03-28,42.0
2022-03-29,43.8
2022-03-30,37.8
2022-03-31,39.2
2022-04-01,40.1
2022-04-02,41.8
2022-04-03,47.8
2022-04-04,43.0
2022-04-05,45.5
2022-04-06,52.7
2022-04-07,46.5
2022-04-08,51.3
2022-04-09,45.0
2022-04-10,48.3
2022-04-11,45.8
2022-04-12,48.7
2022-04-13,53.8
2022-04-14,44.0
2022-04-15,53.1
2022-04-16,52.7
2022-04-17,49.8
2022-04-18,46.8
2022-04-19,53.3
2022-04-20,51.3
2022-04-21,54.8
2022-04-22,54.4
2022-04-23,61.2
2022-04-24,54.2
2022-04-25,51.5
2022-04-26,56.7
2022-04-27,57.3
2022-04-28,62.3
2022-04-29,60.6
2022-04-30,59.1
2022-05-01,64.0
2022-05-02,53.8
2022-05-03,56.4
2022-05-04,55.7
2022-05-05,58.2
2022-05-06,54.7
2022-05-07,63.1
2022-05-08,60.1
2022-05-09,55.5
2022-05-10,57.7
2022-05-11,63.4
